transaction_id,merchant_id,user_id,amount,payment_method,timestamp_initiated,timestamp_otp_sent,timestamp_next_event,error_code,status
txn_00049,merch_01,user_001,39113.4,card,2026-09-01T10:49:00,,,CARD_DECLINED,failed
txn_00050,merch_04,user_071,35298.09,card,2026-09-01T10:50:00,2026-09-01T10:50:04,2026-09-01T10:50:05,,success
txn_00051,merch_02,user_070,1849.61,netbanking,2026-09-01T10:51:00,,,,abandoned
txn_00052,merch_02,user_056,6415.9,netbanking,2026-09-01T10:52:00,2026-09-01T10:52:12,2026-09-01T10:53:52,,abandoned
txn_00053,merch_02,user_032,43403.49,card,2026-09-01T10:53:00,,,CARD_DECLINED,failed
txn_00054,merch_04,user_080,45938.17,card,2026-09-01T10:54:00,,,CARD_DECLINED,failed
txn_00055,merch_02,user_053,1288.08,netbanking,2026-09-01T10:55:00,,,,abandoned
txn_00056,merch_04,user_032,13376.95,card,2026-09-01T10:56:00,2026-09-01T10:56:13,,INSUFFICIENT_FUNDS,failed
txn_00057,merch_04,user_029,30489.75,card,2026-09-01T10:57:00,,,CARD_DECLINED,failed
txn_00058,merch_02,user_029,31953.98,card,2026-09-01T10:58:00,,,CARD_DECLINED,failed
txn_00059,merch_01,user_036,17589.75,wallet,2026-09-01T10:59:00,2026-09-01T10:59:18,2026-09-01T10:59:22,,success
txn_00060,merch_01,user_034,8969.46,netbanking,2026-09-01T11:00:00,,,,abandoned
txn_00061,merch_05,user_056,17317.07,netbanking,2026-09-01T11:01:00,2026-09-01T11:01:14,2026-09-01T11:01:39,,success
txn_00062,merch_01,user_050,44980.26,upi,2026-09-01T11:02:00,,,,abandoned
txn_00063,merch_04,user_001,26020.02,upi,2026-09-01T11:03:00,2026-09-01T11:03:12,2026-09-01T11:03:28,,success
txn_00064,merch_03,user_080,15730.09,card,2026-09-01T11:04:00,2026-09-01T11:04:10,2026-09-01T11:04:33,,success
txn_00065,merch_04,user_042,20149.9,netbanking,2026-09-01T11:05:00,2026-09-01T11:05:18,2026-09-01T11:05:09,,success
txn_00066,merch_04,user_023,30794.97,netbanking,2026-09-01T11:06:00,2026-09-01T11:06:13,2026-09-01T11:06:36,,success
txn_00067,merch_03,user_037,33949.65,card,2026-09-01T11:07:00,,,CARD_DECLINED,failed
txn_00068,merch_02,user_066,23685.65,upi,2026-09-01T11:08:00,2026-09-01T11:08:03,2026-09-01T11:08:19,,success
txn_00069,merch_05,user_043,4714.69,upi,2026-09-01T11:09:00,2026-09-01T11:09:10,2026-09-01T11:09:15,,success
txn_00070,merch_02,user_004,2358.38,wallet,2026-09-01T11:10:00,2026-09-01T11:10:20,,INSUFFICIENT_FUNDS,failed
txn_00071,merch_01,user_059,41550.38,card,2026-09-01T11:11:00,,,CARD_DECLINED,failed
txn_00072,merch_04,user_032,7421.19,card,2026-09-01T11:12:00,2026-09-01T11:12:04,2026-09-01T11:12:28,,success
txn_00073,merch_05,user_060,2558.41,upi,2026-09-01T11:13:00,2026-09-01T11:13:04,2026-09-01T11:13:30,,success
txn_00074,merch_04,user_068,49395.23,netbanking,2026-09-01T11:14:00,2026-09-01T11:14:15,2026-09-01T11:14:40,,success
txn_00075,merch_05,user_055,41536.93,wallet,2026-09-01T11:15:00,2026-09-01T11:15:06,,INSUFFICIENT_FUNDS,failed
txn_00076,merch_04,user_058,12996.62,upi,2026-09-01T11:16:00,2026-09-01T11:16:09,,INSUFFICIENT_FUNDS,failed
txn_00077,merch_05,user_063,31356.08,netbanking,2026-09-01T11:17:00,2026-09-01T11:17:15,,INSUFFICIENT_FUNDS,failed
txn_00078,merch_03,user_031,13622.17,netbanking,2026-09-01T11:18:00,2026-09-01T11:18:18,2026-09-01T11:18:06,,success
txn_00079,merch_02,user_050,34712.79,upi,2026-09-01T11:19:00,2026-09-01T11:19:03,2026-09-01T11:19:27,,success
txn_00080,merch_05,user_060,20817.92,upi,2026-09-01T11:20:00,2026-09-01T11:20:14,2026-09-01T11:20:25,,success
txn_00081,merch_05,user_003,34309.39,card,2026-09-01T11:21:00,,,CARD_DECLINED,failed
txn_00082,merch_03,user_050,42679.73,wallet,2026-09-01T11:22:00,,,,abandoned
txn_00083,merch_05,user_078,44895.68,wallet,2026-09-01T11:23:00,2026-09-01T11:23:08,2026-09-01T11:23:18,,success
txn_00084,merch_01,user_050,16839.67,wallet,2026-09-01T11:24:00,2026-09-01T11:24:06,2026-09-01T11:24:30,,success
txn_00085,merch_05,user_069,1396.97,wallet,2026-09-01T11:25:00,,,,abandoned
txn_00086,merch_01,user_011,32155.34,upi,2026-09-01T11:26:00,2026-09-01T11:26:15,2026-09-01T11:28:13,,abandoned
txn_00087,merch_04,user_042,10622.43,netbanking,2026-09-01T11:27:00,2026-09-01T11:27:11,2026-09-01T11:27:25,,success
txn_00088,merch_04,user_033,41753.8,wallet,2026-09-01T11:28:00,2026-09-01T11:28:01,2026-09-01T11:28:35,,success
txn_00089,merch_03,user_029,32524.7,card,2026-09-01T11:29:00,2026-09-01T11:29:01,2026-09-01T11:29:16,,success
txn_00090,merch_01,user_080,7661.5,upi,2026-09-01T11:30:00,2026-09-01T11:30:16,2026-09-01T11:30:08,,success
txn_00091,merch_02,user_060,34988.28,netbanking,2026-09-01T11:31:00,2026-09-01T11:31:06,2026-09-01T11:33:58,,abandoned
txn_00092,merch_01,user_021,48237.8,card,2026-09-01T11:32:00,2026-09-01T11:32:19,2026-09-01T11:33:57,,abandoned
txn_00093,merch_05,user_049,19862.89,upi,2026-09-01T11:33:00,,,,abandoned
txn_00094,merch_02,user_014,34874.79,netbanking,2026-09-01T11:34:00,2026-09-01T11:34:20,2026-09-01T11:34:08,,success
txn_00095,merch_05,user_006,17392.83,wallet,2026-09-01T11:35:00,2026-09-01T11:35:12,,INSUFFICIENT_FUNDS,failed
txn_00096,merch_03,user_002,42486.3,wallet,2026-09-01T11:36:00,2026-09-01T11:36:04,2026-09-01T11:36:28,,success
txn_00097,merch_04,user_020,21802.58,netbanking,2026-09-01T11:37:00,,,,abandoned
txn_00098,merch_05,user_062,23270.44,netbanking,2026-09-01T11:38:00,2026-09-01T11:38:11,2026-09-01T11:40:17,,abandoned
txn_00099,merch_01,user_036,42514.29,card,2026-09-01T11:39:00,,,CARD_DECLINED,failed
txn_00100,merch_04,user_044,1483.56,netbanking,2026-09-01T11:40:00,2026-09-01T11:40:06,2026-09-01T11:42:43,,abandoned
txn_00101,merch_03,user_044,14018.94,netbanking,2026-09-01T11:41:00,2026-09-01T11:41:18,2026-09-01T11:41:01,,success
txn_00102,merch_02,user_011,12105.73,wallet,2026-09-01T11:42:00,2026-09-01T11:42:16,2026-09-01T11:42:36,,success
txn_00103,merch_04,user_063,22436.32,card,2026-09-01T11:43:00,2026-09-01T11:43:03,,INSUFFICIENT_FUNDS,failed
txn_00104,merch_04,user_032,15344.99,netbanking,2026-09-01T11:44:00,2026-09-01T11:44:16,2026-09-01T11:44:36,,success
txn_00105,merch_04,user_071,16573.03,wallet,2026-09-01T11:45:00,2026-09-01T11:45:09,2026-09-01T11:45:20,,success
txn_00106,merch_01,user_025,15811.62,upi,2026-09-01T11:46:00,2026-09-01T11:46:07,2026-09-01T11:46:14,,success
txn_00107,merch_03,user_076,48831.52,netbanking,2026-09-01T11:47:00,2026-09-01T11:47:04,,INSUFFICIENT_FUNDS,failed
txn_00108,merch_03,user_030,20424.45,card,2026-09-01T11:48:00,,,CARD_DECLINED,failed
txn_00109,merch_03,user_006,48716.03,netbanking,2026-09-01T11:49:00,2026-09-01T11:49:05,2026-09-01T11:49:32,,success
txn_00110,merch_01,user_074,14252.75,wallet,2026-09-01T11:50:00,2026-09-01T11:50:15,2026-09-01T11:50:22,,success
txn_00111,merch_01,user_033,47056.13,wallet,2026-09-01T11:51:00,2026-09-01T11:51:04,2026-09-01T11:51:05,,success
txn_00112,merch_01,user_074,31490.81,card,2026-09-01T11:52:00,2026-09-01T11:52:05,2026-09-01T11:52:10,,success
txn_00113,merch_03,user_011,49696.21,card,2026-09-01T11:53:00,2026-09-01T11:53:18,,INSUFFICIENT_FUNDS,failed
txn_00114,merch_05,user_077,39547.5,upi,2026-09-01T11:54:00,2026-09-01T11:54:17,,INSUFFICIENT_FUNDS,failed
txn_00115,merch_04,user_039,43015.32,wallet,2026-09-01T11:55:00,2026-09-01T11:55:10,2026-09-01T11:55:37,,success
txn_00116,merch_05,user_013,47382.13,upi,2026-09-01T11:56:00,2026-09-01T11:56:07,2026-09-01T11:58:15,,abandoned
txn_00117,merch_02,user_031,8731.99,card,2026-09-01T11:57:00,2026-09-01T11:57:06,,TIMED_OUT,failed
txn_00118,merch_04,user_077,23522.13,card,2026-09-01T11:58:00,2026-09-01T11:58:08,2026-09-01T11:58:19,,success
txn_00119,merch_04,user_010,34384.88,netbanking,2026-09-01T11:59:00,2026-09-01T11:59:19,,TIMED_OUT,failed
txn_00120,merch_02,user_055,5783.08,upi,2026-09-01T12:00:00,2026-09-01T12:00:05,,TIMED_OUT,failed
txn_00121,merch_02,user_010,37851.32,card,2026-09-01T12:01:00,,,CARD_DECLINED,failed
txn_00122,merch_03,user_057,40992.01,card,2026-09-01T12:02:00,,,CARD_DECLINED,failed
txn_00123,merch_05,user_070,24715.07,card,2026-09-01T12:03:00,,,,abandoned
txn_00124,merch_04,user_042,30205.5,card,2026-09-01T12:04:00,2026-09-01T12:04:03,2026-09-01T12:06:07,,abandoned
txn_00125,merch_05,user_076,47541.77,netbanking,2026-09-01T12:05:00,,,,abandoned
txn_00126,merch_02,user_061,25972.24,wallet,2026-09-01T12:06:00,2026-09-01T12:06:09,2026-09-01T12:08:07,,abandoned
txn_00127,merch_04,user_063,48454.31,wallet,2026-09-01T12:07:00,,,,abandoned
txn_00128,merch_03,user_042,33523.17,upi,2026-09-01T12:08:00,2026-09-01T12:08:11,2026-09-01T12:08:27,,success
txn_00129,merch_03,user_052,40687.62,card,2026-09-01T12:09:00,2026-09-01T12:09:15,,TIMED_OUT,failed
txn_00130,merch_03,user_042,5840.28,wallet,2026-09-01T12:10:00,2026-09-01T12:10:17,2026-09-01T12:10:01,,success
txn_00131,merch_05,user_060,20691.72,upi,2026-09-01T12:11:00,2026-09-01T12:11:17,,TIMED_OUT,failed
txn_00132,merch_04,user_057,38011.53,upi,2026-09-01T12:12:00,2026-09-01T12:12:09,2026-09-01T12:12:36,,success
txn_00133,merch_03,user_057,44048.29,wallet,2026-09-01T12:13:00,2026-09-01T12:13:04,2026-09-01T12:13:02,,success
txn_00134,merch_05,user_031,35503.65,netbanking,2026-09-01T12:14:00,,,,abandoned
txn_00135,merch_05,user_053,4705.8,card,2026-09-01T12:15:00,2026-09-01T12:15:15,2026-09-01T12:17:05,,abandoned
txn_00136,merch_02,user_064,46636.02,netbanking,2026-09-01T12:16:00,2026-09-01T12:16:17,,TIMED_OUT,failed
txn_00137,merch_04,user_062,49013.22,upi,2026-09-01T12:17:00,2026-09-01T12:17:15,,TIMED_OUT,failed
txn_00138,merch_04,user_025,46097.31,upi,2026-09-01T12:18:00,2026-09-01T12:18:03,2026-09-01T12:20:13,,abandoned
txn_00139,merch_04,user_044,46715.71,netbanking,2026-09-01T12:19:00,2026-09-01T12:19:01,,INSUFFICIENT_FUNDS,failed
txn_00140,merch_03,user_076,29017.17,wallet,2026-09-01T12:20:00,2026-09-01T12:20:05,2026-09-01T12:20:29,,success
txn_00141,merch_03,user_043,27618.27,wallet,2026-09-01T12:21:00,2026-09-01T12:21:15,2026-09-01T12:21:21,,success
txn_00142,merch_02,user_074,21309.42,card,2026-09-01T12:22:00,,,CARD_DECLINED,failed
txn_00143,merch_04,user_050,49421.28,upi,2026-09-01T12:23:00,2026-09-01T12:23:16,,INSUFFICIENT_FUNDS,failed
txn_00144,merch_02,user_065,48269.41,netbanking,2026-09-01T12:24:00,,,,abandoned
txn_00145,merch_04,user_013,20460.43,card,2026-09-01T12:25:00,,,CARD_DECLINED,failed
txn_00146,merch_02,user_010,23501.06,netbanking,2026-09-01T12:26:00,2026-09-01T12:26:11,2026-09-01T12:26:40,,success
txn_00147,merch_01,user_043,42624.45,wallet,2026-09-01T12:27:00,2026-09-01T12:27:11,,TIMED_OUT,failed
txn_00148,merch_04,user_070,1843.16,card,2026-09-01T12:28:00,2026-09-01T12:28:08,2026-09-01T12:31:03,,abandoned
txn_00149,merch_03,user_030,37350.98,wallet,2026-09-01T12:29:00,2026-09-01T12:29:04,,TIMED_OUT,failed
txn_00150,merch_01,user_057,8359.92,netbanking,2026-09-01T12:30:00,2026-09-01T12:30:01,,INSUFFICIENT_FUNDS,failed
txn_00151,merch_01,user_038,17955.24,wallet,2026-09-01T12:31:00,2026-09-01T12:31:05,2026-09-01T12:31:16,,success
txn_00152,merch_05,user_024,8540.68,card,2026-09-01T12:32:00,2026-09-01T12:32:20,2026-09-01T12:32:25,,success
txn_00153,merch_02,user_064,45645.81,upi,2026-09-01T12:33:00,2026-09-01T12:33:08,2026-09-01T12:35:42,,abandoned
txn_00154,merch_04,user_033,33358.69,wallet,2026-09-01T12:34:00,2026-09-01T12:34:10,2026-09-01T12:36:54,,abandoned
txn_00155,merch_04,user_045,49383.2,netbanking,2026-09-01T12:35:00,2026-09-01T12:35:14,2026-09-01T12:35:17,,success
txn_00156,merch_03,user_026,49968.71,wallet,2026-09-01T12:36:00,2026-09-01T12:36:04,2026-09-01T12:36:16,,success
txn_00157,merch_03,user_074,14828.83,netbanking,2026-09-01T12:37:00,2026-09-01T12:37:01,2026-09-01T12:37:26,,success
txn_00158,merch_05,user_007,45535.32,wallet,2026-09-01T12:38:00,2026-09-01T12:38:10,2026-09-01T12:38:15,,success
txn_00159,merch_03,user_029,31849.06,netbanking,2026-09-01T12:39:00,2026-09-01T12:39:05,2026-09-01T12:42:00,,abandoned
txn_00160,merch_01,user_040,39441.09,card,2026-09-01T12:40:00,2026-09-01T12:40:19,2026-09-01T12:40:24,,success
txn_00161,merch_01,user_038,16369.62,wallet,2026-09-01T12:41:00,2026-09-01T12:41:06,,INSUFFICIENT_FUNDS,failed
txn_00162,merch_05,user_047,26566.08,netbanking,2026-09-01T12:42:00,2026-09-01T12:42:06,2026-09-01T12:42:17,,success
txn_00163,merch_04,user_038,37340.64,netbanking,2026-09-01T12:43:00,,,,abandoned
txn_00164,merch_04,user_010,7080.81,upi,2026-09-01T12:44:00,2026-09-01T12:44:13,,INSUFFICIENT_FUNDS,failed
txn_00165,merch_05,user_047,4560.63,wallet,2026-09-01T12:45:00,,,,abandoned
txn_00166,merch_05,user_016,22766.56,netbanking,2026-09-01T12:46:00,2026-09-01T12:46:19,2026-09-01T12:46:25,,success
txn_00167,merch_03,user_014,20750.74,card,2026-09-01T12:47:00,,,CARD_DECLINED,failed
txn_00168,merch_05,user_042,39429.57,card,2026-09-01T12:48:00,,,CARD_DECLINED,failed
txn_00169,merch_04,user_039,32479.51,card,2026-09-01T12:49:00,2026-09-01T12:49:05,2026-09-01T12:50:45,,abandoned
txn_00170,merch_03,user_064,5850.22,upi,2026-09-01T12:50:00,,,,abandoned
txn_00171,merch_02,user_050,37620.21,card,2026-09-01T12:51:00,,,CARD_DECLINED,failed
txn_00172,merch_04,user_013,41692.97,wallet,2026-09-01T12:52:00,2026-09-01T12:52:09,,TIMED_OUT,failed
txn_00173,merch_03,user_028,22196.99,upi,2026-09-01T12:53:00,2026-09-01T12:53:12,2026-09-01T12:53:07,,success
txn_00174,merch_03,user_070,45089.73,netbanking,2026-09-01T12:54:00,,,,abandoned
txn_00175,merch_03,user_025,48411.93,wallet,2026-09-01T12:55:00,2026-09-01T12:55:03,2026-09-01T12:55:14,,success
txn_00176,merch_05,user_003,2576.4,netbanking,2026-09-01T12:56:00,2026-09-01T12:56:08,,TIMED_OUT,failed
txn_00177,merch_05,user_027,3477.08,upi,2026-09-01T12:57:00,,,,abandoned
txn_00178,merch_02,user_043,38729.71,card,2026-09-01T12:58:00,2026-09-01T12:58:09,2026-09-01T13:00:02,,abandoned
txn_00179,merch_05,user_033,39935.77,card,2026-09-01T12:59:00,,,,abandoned
txn_00180,merch_01,user_017,792.27,upi,2026-09-01T13:00:00,2026-09-01T13:00:19,,TIMED_OUT,failed
txn_00181,merch_02,user_034,2667.33,wallet,2026-09-01T13:01:00,2026-09-01T13:01:17,2026-09-01T13:01:08,,success
txn_00182,merch_04,user_058,38911.95,card,2026-09-01T13:02:00,2026-09-01T13:02:15,,INSUFFICIENT_FUNDS,failed
txn_00183,merch_05,user_006,36375.79,netbanking,2026-09-01T13:03:00,2026-09-01T13:03:15,2026-09-01T13:03:02,,success
txn_00184,merch_04,user_052,21342.37,card,2026-09-01T13:04:00,2026-09-01T13:04:16,2026-09-01T13:04:29,,success
txn_00185,merch_01,user_042,30434.46,card,2026-09-01T13:05:00,2026-09-01T13:05:05,2026-09-01T13:05:18,,success
txn_00186,merch_05,user_071,35622.03,wallet,2026-09-01T13:06:00,2026-09-01T13:06:20,2026-09-01T13:09:02,,abandoned
txn_00187,merch_05,user_078,21538.46,card,2026-09-01T13:07:00,2026-09-01T13:07:18,2026-09-01T13:07:14,,success
txn_00188,merch_02,user_053,16979.63,wallet,2026-09-01T13:08:00,2026-09-01T13:08:13,2026-09-01T13:08:27,,success
txn_00189,merch_03,user_055,15660.55,netbanking,2026-09-01T13:09:00,2026-09-01T13:09:12,,TIMED_OUT,failed
txn_00190,merch_04,user_009,4606.68,card,2026-09-01T13:10:00,,,,abandoned
txn_00191,merch_01,user_048,40597.88,card,2026-09-01T13:11:00,2026-09-01T13:11:19,2026-09-01T13:11:36,,success
txn_00192,merch_01,user_053,17712.22,wallet,2026-09-01T13:12:00,2026-09-01T13:12:02,2026-09-01T13:14:13,,abandoned
txn_00193,merch_03,user_014,28917.03,upi,2026-09-01T13:13:00,2026-09-01T13:13:05,2026-09-01T13:16:04,,abandoned
txn_00194,merch_01,user_045,42276.4,netbanking,2026-09-01T13:14:00,2026-09-01T13:14:04,2026-09-01T13:14:18,,success
txn_00195,merch_04,user_072,48728.6,card,2026-09-01T13:15:00,2026-09-01T13:15:20,2026-09-01T13:18:19,,abandoned
txn_00196,merch_03,user_004,47646.13,card,2026-09-01T13:16:00,,,CARD_DECLINED,failed
txn_00197,merch_02,user_019,28337.74,wallet,2026-09-01T13:17:00,2026-09-01T13:17:03,2026-09-01T13:17:10,,success
txn_00198,merch_01,user_012,37318.28,upi,2026-09-01T13:18:00,2026-09-01T13:18:13,,INSUFFICIENT_FUNDS,failed
txn_00199,merch_03,user_021,18534.15,netbanking,2026-09-01T13:19:00,2026-09-01T13:19:19,2026-09-01T13:19:39,,success
txn_00200,merch_01,user_020,7912.62,card,2026-09-01T13:20:00,2026-09-01T13:20:03,2026-09-01T13:20:18,,success
txn_00201,merch_04,user_063,30373.45,wallet,2026-09-01T13:21:00,2026-09-01T13:21:09,2026-09-01T13:21:14,,success
txn_00202,merch_01,user_045,21524.19,netbanking,2026-09-01T13:22:00,2026-09-01T13:22:19,,INSUFFICIENT_FUNDS,failed
txn_00203,merch_03,user_006,11064.9,card,2026-09-01T13:23:00,2026-09-01T13:23:01,2026-09-01T13:23:14,,success
txn_00204,merch_02,user_018,38219.84,netbanking,2026-09-01T13:24:00,2026-09-01T13:24:11,2026-09-01T13:24:08,,success
txn_00205,merch_04,user_023,6502.83,upi,2026-09-01T13:25:00,2026-09-01T13:25:17,2026-09-01T13:25:36,,success
txn_00206,merch_03,user_010,33086.59,card,2026-09-01T13:26:00,,,CARD_DECLINED,failed
txn_00207,merch_01,user_041,28809.17,wallet,2026-09-01T13:27:00,2026-09-01T13:27:14,2026-09-01T13:27:19,,success
txn_00208,merch_01,user_042,8635.07,wallet,2026-09-01T13:28:00,2026-09-01T13:28:12,2026-09-01T13:28:06,,success
txn_00209,merch_01,user_032,21812.04,wallet,2026-09-01T13:29:00,2026-09-01T13:29:17,2026-09-01T13:29:06,,success
txn_00210,merch_03,user_044,11117.52,upi,2026-09-01T13:30:00,2026-09-01T13:30:03,2026-09-01T13:30:33,,success
txn_00211,merch_05,user_066,9735.49,netbanking,2026-09-01T13:31:00,2026-09-01T13:31:12,2026-09-01T13:34:09,,abandoned
txn_00212,merch_02,user_014,7364.89,upi,2026-09-01T13:32:00,2026-09-01T13:32:06,,INSUFFICIENT_FUNDS,failed
txn_00213,merch_01,user_023,47567.04,wallet,2026-09-01T13:33:00,2026-09-01T13:33:15,2026-09-01T13:36:02,,abandoned
txn_00214,merch_04,user_073,32167.44,netbanking,2026-09-01T13:34:00,2026-09-01T13:34:11,,INSUFFICIENT_FUNDS,failed
txn_00215,merch_01,user_061,22138.29,netbanking,2026-09-01T13:35:00,2026-09-01T13:35:09,2026-09-01T13:35:38,,success
txn_00216,merch_05,user_010,15554.87,wallet,2026-09-01T13:36:00,2026-09-01T13:36:02,2026-09-01T13:36:04,,success
txn_00217,merch_03,user_010,32251.09,card,2026-09-01T13:37:00,2026-09-01T13:37:20,2026-09-01T13:37:39,,success
txn_00218,merch_04,user_075,27738.1,card,2026-09-01T13:38:00,2026-09-01T13:38:15,2026-09-01T13:38:37,,success
txn_00219,merch_03,user_078,23807.67,upi,2026-09-01T13:39:00,2026-09-01T13:39:02,,TIMED_OUT,failed
txn_00220,merch_03,user_011,25252.22,upi,2026-09-01T13:40:00,2026-09-01T13:40:02,2026-09-01T13:40:16,,success
txn_00221,merch_04,user_068,26161.26,upi,2026-09-01T13:41:00,2026-09-01T13:41:12,,TIMED_OUT,failed
txn_00222,merch_03,user_050,20468.03,netbanking,2026-09-01T13:42:00,2026-09-01T13:42:20,2026-09-01T13:42:04,,success
